id,company,title,job_date,is_remote,role_family,job_url,collected_at,raw_json
1,Credit Wellness,Inside Sales Contractor,2026-09-08,1,Engineering,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540""},""content"":{""company"":""Credit Wellness"",""date"":""2026-09-08"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Inside Sales Contractor"",""job_url"":""https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
2,Unio Digital,Tier III Service Desk Engineer,2026-09-06,1,Engineering,https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045""},""content"":{""company"":""Unio Digital"",""date"":""2026-09-06"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Tier III Service Desk Engineer"",""job_url"":""https://remotive.com/remote-jobs/information-technology/tier-iii-service-desk-engineer-2091045"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
3,Iapwe,Freelance Writer,2026-09-04,1,Engineering,https://remotive.com/remote-jobs/writing/freelance-writer-1185979,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/writing/freelance-writer-1185979""},""content"":{""company"":""Iapwe"",""date"":""2026-09-04"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Freelance Writer"",""job_url"":""https://remotive.com/remote-jobs/writing/freelance-writer-1185979"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
4,Coalition,Freelance Copywriter,2026-09-02,1,Engineering,https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306""},""content"":{""company"":""Coalition"",""date"":""2026-09-02"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Freelance Copywriter"",""job_url"":""https://remotive.com/remote-jobs/writing/freelance-copywriter-1749306"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
5,Lemon Io,Senior React Full-stack Developer,2026-08-27,1,Engineering,https://remotive.com/remote-jobs/software-development/senior-react-full-stack-developer-2091101,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/software-development/senior-react-full-stack-developer-2091101""},""content"":{""company"":""Lemon Io"",""date"":""2026-08-27"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior React Full-stack Developer"",""job_url"":""https://remotive.com/remote-jobs/software-development/senior-react-full-stack-developer-2091101"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
6,Lemon Io,Senior QA Engineer,2026-08-26,1,Engineering,https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100""},""content"":{""company"":""Lemon Io"",""date"":""2026-08-26"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior QA Engineer"",""job_url"":""https://remotive.com/remote-jobs/qa/senior-qa-engineer-2091100"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
7,Lemon Io,Senior DevOps Engineer,2026-08-25,1,Engineering,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099""},""content"":{""company"":""Lemon Io"",""date"":""2026-08-25"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior DevOps Engineer"",""job_url"":""https://remotive.com/remote-jobs/devops/senior-devops-engineer-2091099"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
8,Telus Digital,Content Reviewer - English US,2026-08-21,1,Engineering,https://remotive.com/remote-jobs/all-others/content-reviewer-english-us-2091105,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/all-others/content-reviewer-english-us-2091105""},""content"":{""company"":""Telus Digital"",""date"":""2026-08-21"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Content Reviewer - English US"",""job_url"":""https://remotive.com/remote-jobs/all-others/content-reviewer-english-us-2091105"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
9,Lemon Io,Senior Golang Developer,2026-08-20,1,Engineering,https://remotive.com/remote-jobs/software-development/senior-golang-developer-2091098,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/software-development/senior-golang-developer-2091098""},""content"":{""company"":""Lemon Io"",""date"":""2026-08-20"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior Golang Developer"",""job_url"":""https://remotive.com/remote-jobs/software-development/senior-golang-developer-2091098"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
10,Lemon Io,Senior Data Engineer,2026-08-19,1,Engineering,https://remotive.com/remote-jobs/software-development/senior-data-engineer-2091097,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/software-development/senior-data-engineer-2091097""},""content"":{""company"":""Lemon Io"",""date"":""2026-08-19"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior Data Engineer"",""job_url"":""https://remotive.com/remote-jobs/software-development/senior-data-engineer-2091097"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
11,A Team,Senior Independent AI Engineer / Architect,2026-08-16,1,Engineering,https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266""},""content"":{""company"":""A Team"",""date"":""2026-08-16"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior Independent AI Engineer / Architect"",""job_url"":""https://remotive.com/remote-jobs/software-development/senior-independent-ai-engineer-architect-1919266"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
12,A Team,Senior Independent Software Developer,2026-08-16,1,Engineering,https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265""},""content"":{""company"":""A Team"",""date"":""2026-08-16"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Senior Independent Software Developer"",""job_url"":""https://remotive.com/remote-jobs/software-development/senior-independent-software-developer-1919265"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
13,Garden3D,Head of Marketing & Communications,2026-08-15,1,Engineering,https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068""},""content"":{""company"":""Garden3D"",""date"":""2026-08-15"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Head of Marketing & Communications"",""job_url"":""https://remotive.com/remote-jobs/marketing/head-of-marketing-communications-2091068"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
14,Mitre Media,Tech Lead Full-Stack Rails Engineer,2026-08-14,1,Engineering,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746""},""content"":{""company"":""Mitre Media"",""date"":""2026-08-14"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Tech Lead Full-Stack Rails Engineer"",""job_url"":""https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
15,Telus Digital,Face Deduplication Collection,2026-08-13,1,Engineering,https://remotive.com/remote-jobs/all-others/face-deduplication-collection-2091093,2026-09-11T13:23:36.141186+00:00,"{""schemaVersion"":""1.0"",""recordType"":""JOB"",""source"":{""name"":""Remotive AI Jobs"",""url"":""https://remotive.com/remote-jobs/all-others/face-deduplication-collection-2091093""},""content"":{""company"":""Telus Digital"",""date"":""2026-08-13"",""is_remote"":true,""role_family"":""Engineering"",""title"":""Face Deduplication Collection"",""job_url"":""https://remotive.com/remote-jobs/all-others/face-deduplication-collection-2091093"",""location"":null},""collectedAt"":""2026-09-11T13:23:36.141186+00:00""}"
