id,entity_name,employee_count,description,source_name,source_url,collected_at,raw_json
1,OpenAI,1200,AI research and deployment company,Verified AI Index,https://openai.com,2026-09-11T13:22:29.043135+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://openai.com""},""content"":{""entityName"":""OpenAI"",""data"":{""employeeCount"":1200,""foundingYear"":null,""location"":null,""description"":""AI research and deployment company""}},""collectedAt"":""2026-09-11T13:22:29.043135+00:00""}"
2,Anthropic,500,AI safety and research company building Claude,Verified AI Index,https://anthropic.com,2026-09-11T13:22:29.043968+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://anthropic.com""},""content"":{""entityName"":""Anthropic"",""data"":{""employeeCount"":500,""foundingYear"":null,""location"":null,""description"":""AI safety and research company building Claude""}},""collectedAt"":""2026-09-11T13:22:29.043968+00:00""}"
3,Mistral AI,80,Frontier AI models developer,Verified AI Index,https://mistral.ai,2026-09-11T13:22:29.043968+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://mistral.ai""},""content"":{""entityName"":""Mistral AI"",""data"":{""employeeCount"":80,""foundingYear"":null,""location"":null,""description"":""Frontier AI models developer""}},""collectedAt"":""2026-09-11T13:22:29.043968+00:00""}"
4,Cohere,400,Enterprise AI platform for text and retrieval,Verified AI Index,https://cohere.com,2026-09-11T13:22:29.043968+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://cohere.com""},""content"":{""entityName"":""Cohere"",""data"":{""employeeCount"":400,""foundingYear"":null,""location"":null,""description"":""Enterprise AI platform for text and retrieval""}},""collectedAt"":""2026-09-11T13:22:29.043968+00:00""}"
5,Scale AI,1000,Data infrastructure for AI applications,Verified AI Index,https://scale.com,2026-09-11T13:22:29.043968+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://scale.com""},""content"":{""entityName"":""Scale AI"",""data"":{""employeeCount"":1000,""foundingYear"":null,""location"":null,""description"":""Data infrastructure for AI applications""}},""collectedAt"":""2026-09-11T13:22:29.043968+00:00""}"
6,Hugging Face,250,Platform for machine learning collaboration,Verified AI Index,https://huggingface.co,2026-09-11T13:22:29.048831+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://huggingface.co""},""content"":{""entityName"":""Hugging Face"",""data"":{""employeeCount"":250,""foundingYear"":null,""location"":null,""description"":""Platform for machine learning collaboration""}},""collectedAt"":""2026-09-11T13:22:29.048831+00:00""}"
7,Perplexity,100,AI conversational search engine,Verified AI Index,https://perplexity.ai,2026-09-11T13:22:29.048831+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://perplexity.ai""},""content"":{""entityName"":""Perplexity"",""data"":{""employeeCount"":100,""foundingYear"":null,""location"":null,""description"":""AI conversational search engine""}},""collectedAt"":""2026-09-11T13:22:29.048831+00:00""}"
8,Runway,150,Applied AI research building creative tools,Verified AI Index,https://runwayml.com,2026-09-11T13:22:29.048831+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://runwayml.com""},""content"":{""entityName"":""Runway"",""data"":{""employeeCount"":150,""foundingYear"":null,""location"":null,""description"":""Applied AI research building creative tools""}},""collectedAt"":""2026-09-11T13:22:29.048831+00:00""}"
9,ElevenLabs,100,Voice AI research and deployment company,Verified AI Index,https://elevenlabs.io,2026-09-11T13:22:29.048831+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://elevenlabs.io""},""content"":{""entityName"":""ElevenLabs"",""data"":{""employeeCount"":100,""foundingYear"":null,""location"":null,""description"":""Voice AI research and deployment company""}},""collectedAt"":""2026-09-11T13:22:29.048831+00:00""}"
10,Pinecone,200,Vector database for machine learning,Verified AI Index,https://pinecone.io,2026-09-11T13:22:29.048831+00:00,"{""schemaVersion"":""1.0"",""recordType"":""STARTUP"",""source"":{""name"":""Verified AI Index"",""url"":""https://pinecone.io""},""content"":{""entityName"":""Pinecone"",""data"":{""employeeCount"":200,""foundingYear"":null,""location"":null,""description"":""Vector database for machine learning""}},""collectedAt"":""2026-09-11T13:22:29.048831+00:00""}"
